 91 72 158
 9.000000 0.000000 
 6.250000 0.000000 
 4.000000 0.000000 
 2.250000 0.000000 
 1.000000 0.000000 
 0.246515 -0.059037 
 -0.007700 0.000000 
 0.246515 0.059037 
 1.000000 0.000000 
 2.250000 0.000000 
 4.000000 0.000000 
 6.250000 0.000000 
 9.000000 0.000000 
 8.750000 -3.000000 
 6.000000 -2.500000 
 3.750000 -2.000000 
 2.000000 -1.500000 
 0.750000 -1.000000 
 -0.051618 -0.549198 
 -0.328472 0.000000 
 -0.051618 0.549198 
 0.750000 1.000000 
 2.000000 1.500000 
 3.750000 2.000000 
 6.000000 2.500000 
 8.750000 3.000000 
 8.000000 -6.000000 
 5.250000 -5.000000 
 3.000000 -4.000000 
 1.250000 -3.000000 
 0.000000 -2.000000 
 -0.830265 -1.039358 
 -1.120422 0.000000 
 -0.830265 1.039358 
 0.000000 2.000000 
 1.250000 3.000000 
 3.000000 4.000000 
 5.250000 5.000000 
 8.000000 6.000000 
 6.750000 -9.000000 
 4.000000 -7.500000 
 1.750000 -6.000000 
 0.000000 -4.500000 
 -1.250000 -3.000000 
 -2.089427 -1.529519 
 -2.383549 0.000000 
 -2.089427 1.529519 
 -1.250000 3.000000 
 0.000000 4.500000 
 1.750000 6.000000 
 4.000000 7.500000 
 6.750000 9.000000 
 5.000000 -12.000000 
 2.250000 -10.000000 
 0.000000 -8.000000 
 -1.750000 -6.000000 
 -3.000000 -4.000000 
 -3.829103 -2.019679 
 -4.117855 0.000000 
 -3.829103 2.019679 
 -3.000000 4.000000 
 -1.750000 6.000000 
 0.000000 8.000000 
 2.250000 10.000000 
 5.000000 12.000000 
 2.750000 -15.000000 
 0.000000 -12.500000 
 -2.250000 -10.000000 
 -4.000000 -7.500000 
 -5.250000 -5.000000 
 -6.049294 -2.509840 
 -6.323339 0.000000 
 -6.049294 2.509840 
 -5.250000 5.000000 
 -4.000000 7.500000 
 -2.250000 10.000000 
 0.000000 12.500000 
 2.750000 15.000000 
